First Name,Last Name,Email,Sales ID,Date,Sales Amount,Region,Product Category,Units Sold,Discount,Total Revenue,Payment Method,Customer Rating,Order Status,Return Flag
Henry,Lewis,henry.l@example.com,929678,2025-08-10,470.60,North,Electronics,2,10.00,931.20,Debit Card,3.7,Delivered,Yes
Elizabeth,Walker,elizabeth.w@example.com,1029489,2025-08-11,700.25,South,Clothing,3,18.00,2097.75,Cash,4.6,Processing,No
Richard,Hall,richard.h@example.com,330123,2025-08-12,510.80,West,Furniture,1,5.00,505.80,Credit Card,4.2,Shipped,No
Catherine,Allen,catherine.a@example.com,430234,2025-08-13,590.50,East,Books,4,12.00,2352.50,Debit Card,4.4,Delivered,Yes
Edward,Young,edward.y@example.com,530345,2025-08-14,440.15,North,Electronics,2,6.00,874.15,Cash,3.9,Processing,No
Susan,King,susan.k@example.com,630456,2025-08-15,670.90,South,Clothing,3,15.00,2007.70,Credit Card,4.7,Shipped,No
Michael,Wright,michael.w@example.com,730567,2025-08-16,520.30,West,Furniture,1,8.00,512.30,Debit Card,4.0,Delivered,Yes
Linda,Lopez,linda.l@example.com,830678,2025-08-17,610.75,East,Books,4,10.00,2433.00,Cash,4.5,Processing,No
Donald,Hill,donald.h@example.com,930789,2025-08-18,480.40,North,Electronics,2,6.00,934.40,Credit Card,3.8,Shipped,No
Patricia,Scott,patricia.s@example.com,1030490,2025-08-19,690.20,South,Clothing,3,12.00,2061.60,Debit Card,4.9,Delivered,Yes
